Starting ticketing process with 20 tickets.
Vendor 1 started.
Vendor 1 added ticket no: 1
Vendor 2 started.
Vendor 2 added ticket no: 1
Vendor 3 started.
Vendor 3 added ticket no: 1
Customer 1 started.
Customer 1 booked ticket no: 1
Customer 2 started.
Customer 2 booked ticket no: 1
Ticketing process initialized with 3 vendors and 2 customers.
Vendor 1 added ticket no: 2
Vendor 2 added ticket no: 2
Vendor 3 added ticket no: 2
Vendor 2 added ticket no: 3
Vendor 1 added ticket no: 3
Vendor 3 added ticket no: 3
Vendor 2 added ticket no: 4
Customer 1 booked ticket no: 1
Vendor 1 added ticket no: 4
Customer 2 booked ticket no: 2
Vendor 3 added ticket no: 4
Vendor 2 added ticket no: 5
Vendor 1 added ticket no: 5
Vendor 3 added ticket no: 5
Vendor 2 added ticket no: 6
Vendor 1 added ticket no: 6
Vendor 3 added ticket no: 6
Customer 1 booked ticket no: 2
Customer 2 booked ticket no: 2
Vendor 2 added ticket no: 7
Vendor 1 added ticket no: 7
Vendor 3 added ticket no: 7
Vendor 2 added ticket no: 8
Vendor 1 added ticket no: 8
Vendor 3 added ticket no: 8
Vendor 2 added ticket no: 9
Vendor 1 added ticket no: 9
Vendor 3 added ticket no: 9
Customer 1 booked ticket no: 3
Customer 2 booked ticket no: 4
Vendor 1 added ticket no: 10
Vendor 2 added ticket no: 10
Vendor 3 added ticket no: 10
Vendor 2 added ticket no: 11
Vendor 1 added ticket no: 11
Vendor 3 added ticket no: 11
Vendor 2 added ticket no: 12
Vendor 1 added ticket no: 12
Vendor 3 added ticket no: 12
Customer 1 booked ticket no: 4
Customer 2 booked ticket no: 7
Vendor 2 added ticket no: 13
Vendor 1 added ticket no: 13
Vendor 3 added ticket no: 13
Vendor 2 added ticket no: 14
Vendor 1 added ticket no: 14
Vendor 3 added ticket no: 14
Vendor 2 added ticket no: 15
Vendor 1 added ticket no: 15
Vendor 3 added ticket no: 15
Customer 1 booked ticket no: 7
Customer 2 booked ticket no: 10
Vendor 1 added ticket no: 16
Vendor 2 added ticket no: 16
Vendor 3 added ticket no: 16
Vendor 1 added ticket no: 17
Vendor 2 added ticket no: 17
Vendor 3 added ticket no: 17
Vendor 1 added ticket no: 18
Vendor 2 added ticket no: 18
Vendor 3 added ticket no: 18
Customer 1 booked ticket no: 10
Customer 2 booked ticket no: 13
Vendor 1 added ticket no: 19
Vendor 2 added ticket no: 19
Vendor 3 added ticket no: 19
Vendor 1 added ticket no: 20
Vendor 2 added ticket no: 20
Vendor 3 added ticket no: 20
Customer 1 booked ticket no: 13
Customer 2 booked ticket no: 16
Customer 2 booked ticket no: 16
Customer 1 booked ticket no: 19
Customer 2 booked ticket no: 19
